Re: [閒聊] 刮刮樂機率分析彙整,8,Sat Jan  4 12:01:30 2025
[公告] 樂透版版規 2016.08.21,4,Sun Aug 21 23:14:10 2016
[情報] 樂透小常識 (編修:2019/05/01),33,
[真相] 鈔票一把抓,0,Fri Jan 31 21:43:55 2025
[真相] 49 二合 三合,5,Fri Jan 31 21:06:30 2025
[真相] 一本100元蛇年行大運,6,Thu Jan 30 02:23:08 2025
[報牌] 蛇燦年發539,15,Thu Jan 30 18:42:35 2025
[報牌] 539二合,0,Fri Jan 31 12:31:00 2025
[真相] 2000元的5000獎又少一張囉,9,Wed Jan 29 08:42:17 2025
[真相] 今年完全輸爛,12,Wed Jan 29 13:14:54 2025
[真相] 2000刮刮,13,Wed Jan 29 17:32:39 2025
[報牌] 虎斑法鬥 39 二合,1,Fri Jan 31 12:33:43 2025
[真相] 500元財神發紅包,14,Wed Jan 29 19:55:06 2025
[真相] 大年初一 全部差一,3,Wed Jan 29 23:46:23 2025
[真相] 2000呱呱,6,Wed Jan 29 23:10:43 2025
[閒聊] 12 強背號加持的刮刮樂,0,Thu Jan 30 19:19:08 2025
[真相] 500元 財神發紅包,11,Thu Jan 30 15:10:24 2025
[報牌] 蛇燦年發539,15,Wed Jan 29 18:10:50 2025
100刮刮歡樂啦,29,Thu Jan 30 19:37:47 2025
[報牌] 虎斑法鬥 39 二合,1,Thu Jan 30 18:18:27 2025
[真相] 大樂透180注只中1注400,6,Fri Jan 31 18:25:36 2025
[報牌] 蛇燦年發539,15,Fri Jan 31 14:28:50 2025
[真相] 買三張中三張,2,Fri Jan 31 20:11:26 2025
[真相] 招財進寶,8,Fri Jan 31 12:49:59 2025
[閒聊] 誰能比他慘？,4,Fri Jan 31 17:50:51 2025
(本文已被刪除) [mark6101],3,
1000刮刮,32,Sun Jan 26 18:22:37 2025
[報牌] 539、649,1,Sun Jan 26 19:11:46 2025
[報牌] 虎斑法鬥 49 二合,0,Sun Jan 26 10:17:59 2025
[報牌] 虎斑法鬥 39 二合,1,Mon Jan 27 10:54:29 2025
[問題] 請問大樂透加碼qr,1,Tue Jan 28 13:29:20 2025
Re: [閒聊] 玄,0,Sat Jan 25 20:42:48 2025
[報牌] 蛇燦年發539,5,Sun Jan 26 19:24:18 2025
[真相]  賓果六星,21,Sun Jan 26 16:59:21 2025
[報牌] 蛇燦年發539,5,Mon Jan 27 13:30:19 2025
[報牌] 虎斑法鬥 39 二合,1,Tue Jan 28 14:10:13 2025
[真相] 招財進寶500,10,Sun Jan 26 16:36:36 2025
[真相] 賓果三星,2,Tue Jan 28 19:18:54 2025
[報牌] 蛇燦年發539,5,Tue Jan 28 16:11:13 2025
[真相] 兩千不要玩,64,Mon Jan 27 13:45:22 2025
[討論] 賓果1/27-1/28戰績,2,Wed Jan 29 00:50:15 2025
[真相] 2000刮刮,8,Wed Jan 29 01:12:38 2025
[報牌]過年 539,0,Mon Jan 27 12:27:40 2025
[真相] 1200萬大吉利一本,11,Tue Jan 28 19:38:59 2025
[報牌] 虎斑法鬥 39 二合,1,Wed Jan 29 00:11:22 2025
